"","date","group","amount","salary_change"
"393",2017-09-30,"Core Training",3093.76,15.9271708053704
"394",2017-10-31,"Core Training",3112.93,16.6454953891581
"395",2017-11-30,"Core Training",3126.43,17.1513577721071
"396",2017-12-31,"Core Training",3115.4,16.7380494695939
"397",2018-01-31,"Core Training",3127.81,17.2030681490308
"398",2018-02-28,"Core Training",3093.67,15.9237983894841
"399",2018-03-31,"Core Training",3153.52,18.1664549538916
"400",2018-04-30,"Core Training",3139.56,17.6433557786346
"401",2018-05-31,"Core Training",3153.47,18.1645813895103
"402",2018-06-30,"Core Training",3150.86,18.0667813288068
"403",2018-07-31,"Core Training",3145.41,17.8625628112459
"404",2018-08-31,"Core Training",3168.05,18.7109127630953
"405",2018-09-30,"Core Training",3200.64,19.9321020268219
"406",2018-10-31,"Core Training",3262.74,22.2590689883876
"407",2018-11-30,"Core Training",3259.87,22.1515263929014
"408",2018-12-31,"Core Training",3247.78,21.6984985255048
"409",2019-01-31,"Core Training",3251.97,21.8555032206572
"410",2019-02-28,"Core Training",3217.88,20.5781070254917
"411",2019-03-31,"Core Training",3272.2,22.6135473693282
"412",2019-04-30,"Core Training",3264.86,22.3385081181545
"413",2019-05-31,"Core Training",3276.41,22.7713014902331
"414",2019-06-30,"Core Training",3269.04,22.4951381004305
"415",2019-07-31,"Core Training",3262.13,22.2362115029359
"416",2019-08-31,"Core Training",2987.8,11.9567131685346
"417",2019-09-30,"Core Training",3603.58,35.0307826627846
"418",2019-10-31,"Core Training",3339,25.1166293827355
"419",2019-11-30,"Core Training",3345.8,25.3714341385913
"420",2019-12-31,"Core Training",3333.76,24.920279835576
"421",2020-01-31,"Core Training",3338.38,25.0933971844074
"422",2020-02-29,"Core Training",3294.39,23.445035241746
"423",2020-03-31,"Core Training",3353.39,25.6558412116716
"424",2020-04-30,"Core Training",3421.39,28.2038887702298
"425",2020-05-31,"Core Training",3428.26,28.4613165162195
"426",2020-06-30,"Core Training",3417.86,28.0716151249105
"427",2020-07-31,"Core Training",3412.59,27.8741414391223
"428",2020-08-31,"Core Training",3207.94,20.2056424264907
"429",2020-09-30,"Core Training",3456.47,29.5183815401449
"430",2020-10-31,"Core Training",3445.5,29.1073215148892
"431",2020-11-30,"Core Training",3447.1,29.1672755750906
"432",2020-12-31,"Core Training",3435.34,28.7266132326105
"433",2021-01-31,"Core Training",3441.27,28.9488179682318
"434",2021-02-28,"Core Training",3403.87,27.5473918110248
"435",2021-03-31,"Core Training",3434.95,28.7119994304364
"436",2021-04-30,"Core Training",3500.41,31.164869918425
"437",2021-05-31,"Core Training",3509.92,31.5212218637469
"438",2021-06-30,"Core Training",3508.16,31.4552723975254
"439",2021-07-31,"Core Training",3495.29,30.9730169257806
"440",2021-08-31,"Core Training",3358.12,25.8330804021419
"441",2021-09-30,"Core Training",3588.55,34.467589209768
"442",2021-10-31,"Core Training",3555.5,33.2291631537335
"443",2021-11-30,"Core Training",3562.83,33.503827692031
"444",2021-12-31,"Core Training",3554.54,33.1931907176126
"445",2009-09-30,"Foundation Doctor Year 2",2318.96,0
"446",2009-10-31,"Foundation Doctor Year 2",2319.19,0.00991823921068143
"447",2009-11-30,"Foundation Doctor Year 2",2321.49,0.109100631317476
"448",2009-12-31,"Foundation Doctor Year 2",2314.87,-0.176372166833414
"449",2010-01-31,"Foundation Doctor Year 2",2318.83,-0.00560596129299812
"450",2010-02-28,"Foundation Doctor Year 2",2319.08,0.00517473350121998
"451",2010-03-31,"Foundation Doctor Year 2",2321.47,0.108238175733939
"452",2010-04-30,"Foundation Doctor Year 2",2304.2,-0.636492220650646
"453",2010-05-31,"Foundation Doctor Year 2",2364.98,1.98451029771967
"454",2010-06-30,"Foundation Doctor Year 2",2347.01,1.20959395591128
"455",2010-07-31,"Foundation Doctor Year 2",2344.18,1.08755649084071
"456",2010-08-31,"Foundation Doctor Year 2",2254.17,-2.79392486286956
